MB_CODE_2021,MB_CATEGORY_NAME_2021,AREA_ALBERS_SQKM,Dwelling,Person,State,
50005100000,Parkland,0.0028,0,0,5,
50005110000,Parkland,9.6991,0,0,5,
50005120000,Primary Production,154.5141,11,18,5,
50005130000,Parkland,3.6619,0,0,5,
50005140000,Residential,0.0343,24,25,5,
50005150000,Parkland,23.9071,5,5,5,
50005160000,Parkland,0.0097,0,0,5,
50005170000,Residential,0.4367,47,106,5,
50005180000,Residential,0.0487,30,48,5,
50005190000,Primary Production,11.4084,59,119,5,
50005200000,Residential,0.5028,25,62,5,
50005210000,Primary Production,320.4311,56,98,5,
50005220000,Parkland,0.0115,0,0,5,
50005230000,Residential,0.0936,50,112,5,
50005240000,Primary Production,4.4138,48,154,5,
50005250000,Residential,0.5568,32,97,5,
50005261000,Other,2.4839,18,47,5,
50005262000,Residential,0.6301,64,104,5,
50005270000,Other,1.7844,19,46,5,
50005280000,Primary Production,1.5088,0,3,5,
50005290000,Residential,0.0416,50,158,5,
50005300000,Residential,0.041,39,102,5,
50005310000,Residential,0.0441,43,94,5,
50005320000,Residential,0.0385,39,87,5,
50005330000,Residential,0.0421,47,106,5,
50005340000,Residential,0.0398,47,124,5,
50005350000,Residential,0.0402,31,60,5,
50005360000,Residential,0.0303,31,83,5,
50005370000,Residential,0.0438,48,123,5,
50005380000,Residential,0.0332,32,89,5,
50005390000,Residential,0.0373,41,106,5,
50005400000,Parkland,0.0114,0,0,5,
50005410000,Residential,0.0388,41,100,5,
50005420000,Residential,0.0529,55,124,5,
50005430000,Residential,0.085,44,89,5,
50005440000,Residential,0.0448,53,127,5,
50005450000,Residential,0.1,46,101,5,
50005460000,Residential,0.0722,51,124,5,
50005470000,Residential,0.0909,34,95,5,
50005480000,Residential,0.1301,57,141,5,
50005490000,Residential,0.0833,31,87,5,
50005500000,Residential,0.1509,62,159,5,
50005510000,Water,2.5138,0,0,5,
50005520000,Parkland,0.4277,0,0,5,
50005530000,Education,0.0453,0,0,5,
50005540000,Parkland,0.027,0,0,5,
50005560000,Residential,0.0502,39,81,5,
50005570000,Residential,0.0605,43,100,5,
50005580000,Residential,0.1137,27,51,5,
50005590000,Residential,0.0484,42,81,5,
50005600000,Parkland,0.019,0,0,5,
50005610000,Residential,0.0386,43,110,5,
50005620000,Education,0.1337,0,6,5,
50005630000,Residential,0.0628,54,131,5,
50005640000,Residential,0.0544,58,149,5,
50005650000,Education,0.0432,0,0,5,
50005660000,Residential,0.0497,50,114,5,
50005670000,Education,0.0443,0,0,5,
50005680000,Parkland,0.0576,0,5,5,
50005690000,Residential,0.0602,70,170,5,
50005700000,Residential,0.0083,48,50,5,
50005710000,Residential,0.0428,50,170,5,
50005720000,Residential,0.0166,41,58,5,
50005730000,Residential,0.0125,42,55,5,
50005740000,Residential,0.0332,39,45,5,
50005750000,Education,0.0365,0,0,5,
50005760000,Education,0.1206,0,0,5,
50005770000,Residential,0.852,43,117,5,
50005780000,Parkland,0.7596,0,0,5,
50005790000,Residential,0.1287,35,78,5,
50005800000,Education,0.07,0,0,5,
50005810000,Hospital/Medical,0.1915,0,17,5,
50005840000,Education,0.0471,0,0,5,
50005860000,Parkland,0.0259,0,0,5,
50005870000,Parkland,0.0262,0,0,5,
50005880000,Parkland,0.0118,0,0,5,
50005900000,Education,0.0454,0,0,5,
50005910000,Education,0.0575,0,0,5,
50005940000,Parkland,0.0086,0,0,5,
50005950000,Parkland,0.0064,0,0,5,
50005960000,Residential,0.0472,43,85,5,
50005970000,Parkland,0.0413,7,0,5,
50005980000,Parkland,0.0136,0,0,5,
50006010000,Education,0.141,0,0,5,
50006020000,Education,0.0533,0,0,5,
50006030000,Education,0.049,0,0,5,
50006040000,Education,0.1306,4,12,5,
50006050000,Residential,0.047,45,101,5,
50006060000,Residential,0.0319,42,95,5,
50006070000,Residential,0.0472,49,130,5,
50006080000,Residential,0.0431,44,103,5,
50006090000,Parkland,0.0144,0,0,5,
50006100000,Parkland,0.0252,0,0,5,
50006110000,Residential,0.0608,61,143,5,
