check_date,2023-07-21: 14
amenity,biergarten: 14
cuisine,noodle: 14
social_facility,nursing_home: 14
addr:suburb,High Wycombe: 14
brand,Big W: 14
brand:wikidata,Q4906646: 14
name,Big W: 14
brand:wikipedia,en:Royal Dutch Shell: 14
shop,storage_rental: 14
amenity,dressing_room: 14
shop,paint: 14
local_ref,10: 14
brand,Cellarbrations: 14
brand:wikidata,Q109807592: 14
name,Cellarbrations: 14
amenity,sanitary_dump_station: 14
survey:date,2022-05-29: 14
colour,grey: 14
operator:type,university: 13
layer,2: 13
operator,Wilson Parking: 13
building,parking: 13
addr:postcode,6059: 13
check_date,2024-01-24: 13
addr:city,Atwell: 13
addr:housenumber,24: 13
addr:postcode,6024: 13
addr:housenumber,53: 13
grades,0-6: 13
addr:housenumber,43: 13
shop,seafood: 13
sport,netball;basketball: 13
website,https://www.zambrero.com/: 13
garden:type,community: 13
brand,Officeworks: 13
brand:wikidata,Q7079486: 13
brand:wikipedia,en:Officeworks: 13
name,Officeworks: 13
addr:suburb,Ellenbrook: 13
parking:orientation,perpendicular: 13
survey:date,2024-04-01: 13
name,TAB: 13
shop,bookmaker: 13
addr:suburb,Willetton: 13
shop,carpet: 13
addr:street,West Swan Road: 13
addr:postcode,6401: 13
addr:housenumber,420: 13
shelter_type,sun_shelter: 13
website,https://www.nandos.com.au/: 13
shop,wholesale: 13
brand:wikidata,Q7643119: 13
brand:wikipedia,en:Supercheap Auto: 13
name,Supercheap Auto: 13
garden:type,botanical: 13
brand,Anytime Fitness: 13
brand:wikidata,Q4778364: 13
name,Anytime Fitness: 13
name,Priceline Pharmacy: 13
operator:wikidata,Q2031726: 13
brand:wikipedia,en:Bankwest: 13
demolished:highway,bus_stop: 13
shop,tattoo: 13
check_date,2023-10-22: 13
survey:date,2023-07-23: 13
check_date,2024-03-19: 13
emergency,yes: 12
addr:street,Mounts Bay Road: 12
addr:street,Hale Road: 12
addr:postcode,6109: 12
addr:housenumber,49: 12
addr:housenumber,47: 12
addr:housenumber,28: 12
amenity,marketplace: 12
addr:housenumber,110: 12
capacity:disabled,3: 12
currency:XBT,yes: 12
addr:housenumber,140: 12
operator,NAB: 12
operator,Murdoch University: 12
landuse,commercial: 12
leisure,dance: 12
building,school: 12
addr:city,Mount Lawley: 12
denomination,uniting: 12
shop,second_hand: 12
website,https://www.kmart.com.au/: 12
brand,Baskin-Robbins: 12
brand:wikidata,Q584601: 12
name,Baskin-Robbins: 12
bar,yes: 12
check_date,2023-06-12: 12
shop,motorcycle: 12
theatre:type,amphi: 12
addr:street,Murdoch Drive: 12
capacity:disabled,no: 12
capacity,30: 12
check_date,2024-01-20: 12
addr:city,Guildford: 12
addr:housenumber,88: 12
addr:postcode,6166: 12
shop,general: 12
opening_hours:signed,no: 12
brand:wikipedia,en:Australia Post: 12
shop,trade: 12
addr:suburb,Osborne Park: 12
brand:wikipedia,en:Big W: 12
capacity,9: 12
orientation,perpendicular: 12
addr:street,Stevenage Street: 12
name,Snap Fitness: 12
shop,swimming_pool: 12
sport,running: 12
brand,Supercheap Auto: 12
addr:street,Calypso Parade: 12
addr:street,Railway Road: 12
shop,appliance: 12
material,brick: 12
shop,grocery: 12
check_date,2023-10-08: 12
brand,Priceline Pharmacy: 12
brand:wikidata,Q7242652: 12
operator,ARC Infrastructure: 12
collection_times,Mo-Fr 12:00: 12
addr:housenumber,189: 12
local_ref,11: 12
survey:date,2024-04-14: 12
name,filtered: 12
check_date,2023-08-01: 12
check_date,2024-03-10: 12
name,Bush to Beach Trail: 12
check_date,2024-05-17: 12
map_type,cycleway: 12
operator,Kalamunda Mountain Bike Collective: 12
website,https://www.kmbc.org.au: 12
bench:type,platform: 12
addr:suburb,Crawley: 11
addr:housenumber,101: 11
addr:housenumber,51: 11
addr:housenumber,44: 11
addr:postcode,6102: 11
addr:postcode,6052: 11
addr:suburb,Cottesloe: 11
addr:housenumber,530: 11
addr:city,Cannington: 11
addr:postcode,6111: 11
addr:housenumber,200: 11
addr:street,Erindale Road: 11
addr:postcode,6023: 11
addr:housenumber,65: 11
addr:postcode,6026: 11
amenity,grave_yard: 11
addr:suburb,Midland: 11
addr:housenumber,42: 11
operator,City of Perth: 11
brand:wikidata,Q7987488: 11
addr:street,Queen Victoria Street: 11
shop,fabric: 11
addr:housenumber,70: 11
addr:postcode,6053: 11
building,toilets: 11
